Gene,CHD classification,Extra cardiac phenotype,Inheritance mode,Ranking,Supporting References
ACTC1,"ASD,VSD",Yes,AD,5,3
ACVR1,"ASD,AVSD and variants,Malformation of outflow tracts",No,"AD,AR",5,2
ACVR2B,"ASD with minor abnormalities,VSD with minor abnormalities,AVSD and variants,Obstructive lesions,Malformation of outflow tracts,Heterotaxy,Other",Yes,AD,5,2
ADAMTS10,"VSD,Obstructive lesions",Yes,AR,5,1
ANKRD11,"ASD,VSD,AVSD and variants,Obstructive lesions",Yes,AD,5,3
ARID1A,"ASD,VSD,Obstructive lesions",Yes,AD,5,1
ARID1B,"ASD with minor abnormalities,AVSD and variants",Yes,AD,5,4
B3GAT3,"ASD with minor abnormalities,VSD with minor abnormalities",Yes,AR,5,4
BCOR,"ASD with minor abnormalities,VSD with minor abnormalities,Obstructive lesions,Malformation of outflow tracts,Heterotaxy",Yes,XLD,5,2
BMPR2,"ASD with minor abnormalities,VSD with minor abnormalities,AVSD and variants,Malformation of outflow tracts",No,"AD,DN",5,3
BRAF,"ASD with minor abnormalities,Obstructive lesions",Yes,AD,5,5
CDK13,"ASD,VSD,Obstructive lesions",Yes,AD,5,2
CFC1,"AVSD and variants,Obstructive lesions,Malformation of outflow tracts,Heterotaxy",Yes,AD,5,4
CHD4,"ASD,VSD,Obstructive lesions,Malformation of outflow tracts",Yes,AD,5,1
CHD7,ASD with minor abnormalities,Yes,AD,5,3
CITED2,"ASD,VSD",No,AD,5,3
CREBBP,"ASD with minor abnormalities,VSD with minor abnormalities,Obstructive lesions",Yes,AD,5,6
CRELD1,"AVSD and variants,Heterotaxy",Yes,AD,5,3
DLL4,"VSD,Obstructive lesions,Malformation of outflow tracts",Yes,"AD,DN",5,2
DOCK6,VSD with minor abnormalities,Yes,AR,5,2
EFTUD2,"ASD with minor abnormalities,VSD with minor abnormalities,Other",Yes,AD,5,2
EHMT1,VSD with minor abnormalities,Yes,AD,5,2
