gene	m
A1CF	1
A2M	6
A2ML1	23
A3GALT2	1
A4GALT	38
AAAS	87
AACS	2
AADAC	7
AADACL2	1
AADAT	1
AAGAB	47
AAMP	1
AANAT	3
AAR2	1
AARS	28
AARS2	47
AASDH	3
AASDHPPT	1
AASS	15
AATF	2
ABAT	13
abattv3	2
ABCA1	268
ABCA10	1
ABCA12	158
ABCA13	18
ABCA2	11
ABCA3	295
ABCA4	1467
ABCA5	5
ABCA6	1
ABCA7	167
ABCA8	2
ABCB1	18
ABCB11	344
ABCB4	258
ABCB5	3
ABCB6	62
ABCB7	9
ABCB8	2
ABCB9	1
ABCC1	10
ABCC11	7
ABCC12	3
ABCC2	74
ABCC3	10
ABCC4	14
ABCC5	2
ABCC6	391
ABCC8	712
abcc8tv3	2
ABCC9	53
ABCD1	688
ABCD3	7
ABCD4	9
ABCE1	2
ABCG1	9
ABCG2	99
ABCG4	1
ABCG5	57
ABCG8	64
ABHD12	23
ABHD14B	1
ABHD15	2
ABHD17A	1
ABHD5	42
ABHD6	1
ABI1	1
ABI2	4
ABI3	1
ABI3BP	2
ABL1	7
ABL2	4
ABLIM1	2
ABO	163
ABR	2
ABRAXAS1	10
ABRAXAS2	2
ABTB1	2
AC145625.1	1
ACAA1	1
ACACA	8
ACACB	13
ACAD10	3
ACAD8	33
ACAD9	65
ACADL	2
ACADM	183
ACADS	88
ACADSB	24
ACADVL	332
ACAN	67
ACAP2	1
ACAP3	6
ACAT1	122
ACBD3	1
ACBD5	4
ACBD6	2
ACCS	1
ACCSL	1
ACD	13
ACE	55
ACE2	2
ACER3	1
acetv3	1
ACHE	6
ACKR1	11
ACKR2	3
ACKR3	2
ACLY	4
ACMSD	4
ACO1	1
ACO2	33
ACOT1	1
ACOT4	1
ACOT6	1
ACOT7	1
ACOX1	27
ACOX2	6
ACP2	3
ACP4	7
ACP5	30
ACP6	3
ACP7	1
ACRBP	1
ACSF2	1
ACSF3	29
ACSL1	2
ACSL4	8
ACSL5	3
ACSL6	1
ACSM2B	1
ACSM3	5
ACSM5	1
ACSS2	1
ACTA1	224
ACTA2	88
ACTB	70
ACTBL2	1
ACTC1	74
