gene	cat	obs
A1BG	0.0000e+00	193
A1BG	1.0000e+00	79
A1BG	2.0000e+00	36
A1BG	3.0000e+00	21
A1BG	4.0000e+00	10
A1BG	5.0000e+00	5
A1BG	6.0000e+00	2
A1BG	7.0000e+00	1
A1BG	8.0000e+00	1
A1BG	9.0000e+00	2
A1BG	1.7000e+01	1
A1CF	0.0000e+00	203
A1CF	1.0000e+00	77
A1CF	2.0000e+00	28
A1CF	3.0000e+00	15
A1CF	4.0000e+00	10
A1CF	5.0000e+00	1
A1CF	6.0000e+00	2
A1CF	7.0000e+00	1
A1CF	9.0000e+00	1
A1CF	1.0000e+01	1
A1CF	1.1000e+01	1
A2M	0.0000e+00	408
A2M	1.0000e+00	164
A2M	2.0000e+00	63
A2M	3.0000e+00	26
A2M	4.0000e+00	22
A2M	5.0000e+00	13
A2M	6.0000e+00	6
A2M	7.0000e+00	5
A2M	8.0000e+00	3
A2M	1.0000e+01	1
A2M	1.2000e+01	2
A2M	1.4000e+01	1
A2M	1.6000e+01	1
A2M	1.7000e+01	1
A2ML1	0.0000e+00	481
A2ML1	1.0000e+00	200
A2ML1	2.0000e+00	94
A2ML1	3.0000e+00	70
A2ML1	4.0000e+00	25
A2ML1	5.0000e+00	15
A2ML1	6.0000e+00	14
A2ML1	7.0000e+00	12
A2ML1	8.0000e+00	5
A2ML1	9.0000e+00	8
A2ML1	1.0000e+01	4
A2ML1	1.3000e+01	3
A2ML1	1.5000e+01	1
A2ML1	1.6000e+01	1
A2ML1	1.7000e+01	3
A3GALT2	0.0000e+00	95
A3GALT2	1.0000e+00	44
A3GALT2	2.0000e+00	39
A3GALT2	3.0000e+00	13
A3GALT2	4.0000e+00	6
A3GALT2	5.0000e+00	7
A3GALT2	6.0000e+00	2
A3GALT2	7.0000e+00	1
A3GALT2	8.0000e+00	6
A3GALT2	9.0000e+00	4
A3GALT2	1.1000e+01	1
A4GALT	0.0000e+00	129
A4GALT	1.0000e+00	77
A4GALT	2.0000e+00	34
A4GALT	3.0000e+00	11
A4GALT	4.0000e+00	5
A4GALT	5.0000e+00	6
A4GALT	6.0000e+00	1
A4GALT	8.0000e+00	1
A4GALT	9.0000e+00	2
A4GALT	1.6000e+01	1
A4GNT	0.0000e+00	107
A4GNT	1.0000e+00	43
A4GNT	2.0000e+00	23
A4GNT	3.0000e+00	8
A4GNT	4.0000e+00	4
A4GNT	5.0000e+00	3
A4GNT	6.0000e+00	4
A4GNT	7.0000e+00	1
A4GNT	8.0000e+00	2
A4GNT	9.0000e+00	3
A4GNT	1.2000e+01	1
A4GNT	1.7000e+01	1
AAAS	0.0000e+00	222
AAAS	1.0000e+00	76
AAAS	2.0000e+00	40
AAAS	3.0000e+00	22
AAAS	4.0000e+00	13
AAAS	5.0000e+00	9
AAAS	6.0000e+00	1
AAAS	7.0000e+00	2
AAAS	8.0000e+00	2
AAAS	1.0000e+01	1
AACS	0.0000e+00	254
AACS	1.0000e+00	102
AACS	2.0000e+00	55
AACS	3.0000e+00	50
AACS	4.0000e+00	24
AACS	5.0000e+00	11
AACS	6.0000e+00	2
AACS	7.0000e+00	4
AACS	8.0000e+00	3
AACS	9.0000e+00	1
AACS	1.3000e+01	1
AACS	1.5000e+01	1
AADAC	0.0000e+00	123
AADAC	1.0000e+00	45
AADAC	2.0000e+00	28
AADAC	3.0000e+00	14
AADAC	4.0000e+00	2
AADAC	5.0000e+00	6
AADAC	6.0000e+00	1
AADAC	7.0000e+00	1
AADAC	8.0000e+00	1
AADAC	9.0000e+00	3
AADAC	1.7000e+01	1
AADACL2	0.0000e+00	121
AADACL2	1.0000e+00	52
AADACL2	2.0000e+00	33
AADACL2	3.0000e+00	20
AADACL2	4.0000e+00	9
AADACL2	5.0000e+00	2
AADACL2	6.0000e+00	4
AADACL2	7.0000e+00	2
AADACL2	8.0000e+00	1
AADACL2	1.7000e+01	1
AADACL3	0.0000e+00	138
AADACL3	1.0000e+00	60
AADACL3	2.0000e+00	22
AADACL3	3.0000e+00	15
AADACL3	4.0000e+00	5
AADACL3	5.0000e+00	2
AADACL3	6.0000e+00	5
AADACL3	7.0000e+00	5
AADACL3	8.0000e+00	1
AADACL3	1.0000e+01	1
AADACL3	1.1000e+01	1
AADACL3	1.3000e+01	1
AADACL3	1.7000e+01	2
AADACL4	0.0000e+00	160
AADACL4	1.0000e+00	64
AADACL4	2.0000e+00	28
AADACL4	3.0000e+00	19
AADACL4	4.0000e+00	11
AADACL4	5.0000e+00	10
AADACL4	6.0000e+00	4
AADACL4	7.0000e+00	1
AADACL4	9.0000e+00	1
AADACL4	1.0000e+01	1
AADAT	0.0000e+00	97
AADAT	1.0000e+00	33
AADAT	2.0000e+00	11
AADAT	3.0000e+00	3
AADAT	4.0000e+00	1
AADAT	5.0000e+00	2
AADAT	1.0000e+01	1
AAED1	0.0000e+00	51
AAED1	1.0000e+00	16
AAED1	2.0000e+00	11
AAED1	3.0000e+00	7
AAED1	4.0000e+00	5
AAED1	5.0000e+00	4
AAED1	6.0000e+00	3
AAED1	7.0000e+00	2
AAED1	8.0000e+00	1
AAED1	1.1000e+01	1
AAGAB	0.0000e+00	124
AAGAB	1.0000e+00	60
AAGAB	2.0000e+00	18
AAGAB	3.0000e+00	10
AAGAB	4.0000e+00	5
AAGAB	5.0000e+00	4
AAGAB	6.0000e+00	5
AAGAB	7.0000e+00	1
AAGAB	8.0000e+00	1
AAGAB	1.6000e+01	1
AAK1	0.0000e+00	225
AAK1	1.0000e+00	80
AAK1	2.0000e+00	34
AAK1	3.0000e+00	12
AAK1	4.0000e+00	10
AAK1	5.0000e+00	10
AAK1	6.0000e+00	3
AAK1	8.0000e+00	3
AAK1	9.0000e+00	1
AAK1	1.0000e+01	1
AAK1	1.1000e+01	1
AAK1	1.2000e+01	1
AAK1	1.7000e+01	1
AAMDC	0.0000e+00	77
AAMDC	1.0000e+00	28
AAMDC	2.0000e+00	11
AAMDC	3.0000e+00	7
AAMDC	4.0000e+00	1
AAMDC	5.0000e+00	3
AAMDC	6.0000e+00	3
AAMDC	1.5000e+01	1
AAMDC	1.6000e+01	1
AAMP	0.0000e+00	128
AAMP	1.0000e+00	37
AAMP	2.0000e+00	17
AAMP	3.0000e+00	7
AAMP	4.0000e+00	5
AAMP	5.0000e+00	2
AAMP	6.0000e+00	2
AAMP	7.0000e+00	1
AAMP	8.0000e+00	2
AAMP	1.2000e+01	1
AANAT	0.0000e+00	75
AANAT	1.0000e+00	36
AANAT	2.0000e+00	21
AANAT	3.0000e+00	14
