gene	AF5	AF4	AF3	AF2	FUNC	SYN
A1BG	118	12	3	1	351	144
A1BG-AS1	2	0	0	0	6	0
A1CF	79	6	3	0	340	142
A2M	159	30	4	5	719	277
A2ML1	233	51	17	8	936	334
A3GALT2	103	16	10	1	218	75
A4GALT	83	8	3	1	267	130
A4GNT	47	9	5	2	200	81
AAAS	96	16	3	0	389	105
AACS	167	25	4	3	535	136
AADAC	61	9	4	1	225	89
AADACL2	79	10	1	1	247	77
AADACL3	63	14	2	4	258	96
AADACL4	75	19	2	0	299	91
AADAT	20	4	1	0	148	72
AAED1	28	13	1	1	101	23
AAGAB	52	13	1	1	229	70
AAK1	94	17	5	3	382	202
AAMDC	39	11	1	2	146	37
AAMP	42	6	2	1	202	109
AANAT	67	16	4	0	196	71
AAR2	80	23	2	0	248	98
AARD	22	6	3	2	103	40
AARS	144	15	6	1	594	240
AARS2	187	27	8	2	641	194
AARSD1	13	6	0	0	28	4
AASDH	150	24	7	8	670	179
AASDHPPT	42	8	0	0	179	57
AASS	133	19	2	0	512	175
AATF	89	14	2	1	341	120
AATK	319	44	13	6	763	445
AATK-AS1	2	1	1	0	5	0
ABAT	89	8	2	1	334	130
ABC7-42389800N19.1	5	1	0	0	9	0
ABCA1	250	37	12	7	1183	541
ABCA10	245	51	12	11	937	268
ABCA11P	0	0	0	0	1	0
ABCA12	315	46	14	8	1316	538
ABCA13	785	126	53	24	3088	1013
ABCA2	385	50	10	2	1174	880
ABCA3	313	55	12	0	1052	551
ABCA4	407	80	27	8	1522	573
ABCA5	206	35	5	4	870	264
ABCA6	242	49	5	5	972	282
ABCA7	545	104	17	12	1775	673
ABCA8	251	56	14	5	1031	313
ABCA9	228	33	7	5	928	304
ABCA9-AS1	0	0	0	0	2	0
ABCB1	143	22	5	4	620	250
ABCB10	95	12	4	3	324	153
ABCB11	166	32	4	3	688	297
ABCB4	114	22	4	2	594	252
ABCB5	251	64	12	9	968	292
ABCB6	161	29	8	1	609	236
ABCB7	55	9	2	2	154	109
ABCB8	195	27	5	5	605	212
ABCB9	172	17	2	0	524	187
ABCC1	216	38	8	3	850	477
ABCC10	287	49	8	2	962	403
ABCC11	271	49	16	8	941	341
ABCC12	253	40	15	8	963	274
ABCC13	0	1	0	0	2	0
